finalWorth,category,personName,age,country,city,source,industries,gender,lastName,firstName
211000,"Fashion & Retail","Bernard Arnault & family",74,France,Paris,LVMH,"Fashion & Retail",M,Arnault,Bernard
180000,Automotive,"Elon Musk",51,"United States",Austin,"Tesla, SpaceX",Automotive,M,Musk,Elon
114000,Technology,"Jeff Bezos",59,"United States",Medina,Amazon,Technology,M,Bezos,Jeff
107000,Technology,"Larry Ellison",78,"United States",Lanai,Oracle,Technology,M,Ellison,Larry
106000,"Finance & Investments","Warren Buffett",92,"United States",Omaha,"Berkshire Hathaway","Finance & Investments",M,Buffett,Warren
104000,Technology,"Bill Gates",67,"United States",Medina,Microsoft,Technology,M,Gates,Bill
94500,"Media & Entertainment","Michael Bloomberg",81,"United States","New York","Bloomberg LP","Media & Entertainment",M,Bloomberg,Michael
93000,Telecom,"Carlos Slim Helu & family",83,Mexico,"Mexico City",Telecom,Telecom,M,"Slim Helu",Carlos
83400,Diversified,"Mukesh Ambani",65,India,Mumbai,Diversified,Diversified,M,Ambani,Mukesh
80700,Technology,"Steve Ballmer",67,"United States","Hunts Point",Microsoft,Technology,M,Ballmer,Steve
80500,"Fashion & Retail","Francoise Bettencourt Meyers & family",69,France,Paris,L'OrÃ©al,"Fashion & Retail",F,"Bettencourt Meyers",Francoise
79200,Technology,"Larry Page",50,"United States","Palo Alto",Google,Technology,M,Page,Larry
77300,"Fashion & Retail","Amancio Ortega",87,Spain,"La Coruna",Zara,"Fashion & Retail",M,Ortega,Amancio
76000,Technology,"Sergey Brin",49,"United States","Los Altos",Google,Technology,M,Brin,Sergey
68000,"Food & Beverage","Zhong Shanshan",68,China,Hangzhou,"Beverages, pharmaceuticals","Food & Beverage",M,Zhong,Shanshan
64400,Technology,"Mark Zuckerberg",38,"United States","Palo Alto",Facebook,Technology,M,Zuckerberg,Mark
59000,Diversified,"Charles Koch & family",87,"United States",Wichita,"Koch Industries",Diversified,M,Koch,Charles
59000,Diversified,"Julia Koch & family",60,"United States","New York","Koch Industries",Diversified,F,Koch,Julia
58800,"Fashion & Retail","Jim Walton",74,"United States",Bentonville,Walmart,"Fashion & Retail",M,Walton,Jim
57600,"Fashion & Retail","Rob Walton & family",78,"United States",Bentonville,Walmart,"Fashion & Retail",M,Walton,Rob
56700,"Fashion & Retail","Alice Walton",73,"United States","Fort Worth",Walmart,"Fashion & Retail",F,Walton,Alice
54400,"Media & Entertainment","David Thomson & family",65,Canada,Toronto,Media,"Media & Entertainment",M,Thomson,David
50100,Technology,"Michael Dell",58,"United States",Austin,"Dell Technologies",Technology,M,Dell,Michael
47200,Diversified,"Gautam Adani",60,India,Ahmedabad,"Infrastructure, commodities",Diversified,M,Adani,Gautam
45100,"Fashion & Retail","Phil Knight & family",85,"United States",Hillsboro,Nike,"Fashion & Retail",M,Knight,Phil
45000,Technology,"Zhang Yiming",39,China,Beijing,TikTok,Technology,M,Zhang,Yiming
42900,"Fashion & Retail","Dieter Schwarz",83,Germany,Neckarsulm,Retail,"Fashion & Retail",M,Schwarz,Dieter
40100,"Fashion & Retail","FranÃ§ois Pinault & family",86,France,Paris,"Luxury goods","Fashion & Retail",M,Pinault,FranÃ§ois
39100,Logistics,"Klaus-Michael Kuehne",85,Switzerland,Schindellegi,Shipping,Logistics,M,Kuehne,Klaus-Michael
38900,"Food & Beverage","Giovanni Ferrero",58,Belgium,Brussels,"Nutella, chocolates","Food & Beverage",M,Ferrero,Giovanni
38300,"Food & Beverage","Jacqueline Mars",83,"United States","The Plains","Candy, pet food","Food & Beverage",F,Mars,Jacqueline
38300,"Food & Beverage","John Mars",87,"United States",Jackson,"Candy, pet food","Food & Beverage",M,Mars,John
35300,Technology,"Ma Huateng",51,China,Shenzhen,"Internet media",Technology,M,Ma,Huateng
35000,"Gambling & Casinos","Miriam Adelson & family",77,"United States","Las Vegas",Casinos,"Gambling & Casinos",F,Adelson,Miriam
35000,"Finance & Investments","Ken Griffin",54,"United States",Miami,"Hedge funds","Finance & Investments",M,Griffin,Ken
34700,"Food & Beverage","Mark Mateschitz",30,Austria,Salzburg,"Red Bull","Food & Beverage",M,Mateschitz,Mark
33400,Automotive,"Robin Zeng",54,China,Ningde,Batteries,Automotive,M,Zeng,Robin
32600,"Fashion & Retail","Tadashi Yanai & family",74,Japan,Tokyo,"Fashion retail","Fashion & Retail",M,Yanai,Tadashi
32100,Diversified,"Len Blavatnik",65,"United Kingdom",London,"Music, chemicals",Diversified,M,Blavatnik,Len
31600,"Fashion & Retail","Alain Wertheimer",74,"United States","New York",Chanel,"Fashion & Retail",M,Wertheimer,Alain
31600,"Fashion & Retail","Gerard Wertheimer",72,"United States","New York",Chanel,"Fashion & Retail",M,Wertheimer,Gerard
31200,Logistics,"Gianluigi Aponte",82,Switzerland,Geneva,Shipping,Logistics,M,Aponte,Gianluigi
31200,Logistics,"Rafaela Aponte-Diamant",78,Switzerland,Geneva,Shipping,Logistics,F,Aponte-Diamant,Rafaela
30200,Technology,"Colin Zheng Huang",43,China,Shanghai,E-commerce,Technology,M,Huang,"Colin Zheng"
29700,Manufacturing,"Reinhold Wuerth & family",87,Germany,Kuenzelsau,Fasteners,Manufacturing,M,Wuerth,Reinhold
28500,"Finance & Investments","Jeff Yass",64,"United States",Haverford,"Trading, investments","Finance & Investments",M,Yass,Jeff
28100,"Finance & Investments","Jim Simons",84,"United States","East Setauket","Hedge funds","Finance & Investments",M,Simons,Jim
27800,"Finance & Investments","Stephen Schwarzman",76,"United States","New York",Investments,"Finance & Investments",M,Schwarzman,Stephen
27400,Automotive,"Susanne Klatten",60,Germany,"Bad Homburg","BMW, pharmaceuticals",Automotive,F,Klatten,Susanne
27000,"Metals & Mining","Gina Rinehart",69,Australia,Perth,Mining,"Metals & Mining",F,Rinehart,Gina
26700,Technology,"William Ding",51,China,Hangzhou,"Online games",Technology,M,Ding,William
26600,"Metals & Mining","GermÃ¡n Larrea Mota Velasco & family",69,Mexico,"Mexico City",Mining,"Metals & Mining",M,"Larrea Mota Velasco",GermÃ¡n
25600,Technology,"Shiv Nadar",77,India,Delhi,"software services",Technology,M,Nadar,Shiv
25500,Energy,"Low Tuck Kwong",74,Indonesia,Jakarta,Coal,Energy,M,"Low Tuck",Kwong
25300,"Finance & Investments","Thomas Peterffy",78,"United States","Palm Beach","Discount brokerage","Finance & Investments",M,Peterffy,Thomas
25200,"Metals & Mining","Andrey Melnichenko & family",51,"United Arab Emirates","Ras Al Khaimah","Fertilizers, coal","Metals & Mining",M,Melnichenko,Andrey
24600,Automotive,"Stefan Quandt",56,Germany,Frankfurt,BMW,Automotive,M,Quandt,Stefan
24400,Technology,"MacKenzie Scott",52,"United States",Seattle,Amazon,Technology,F,Scott,MacKenzie
24200,"Finance & Investments","R. Budi Hartono",82,Indonesia,Kudus,"Banking, tobacco","Finance & Investments",M,Hartono,"R. Budi"
23700,"Metals & Mining","Vladimir Potanin",62,Russia,Moscow,Metals,"Metals & Mining",M,Potanin,Vladimir
23500,Technology,"Jack Ma",58,China,Hangzhou,E-commerce,Technology,M,Ma,Jack
23400,Manufacturing,"He Xiangjian & family",80,China,Foshan,"Home appliances",Manufacturing,M,He,Xiangjian
23100,"Metals & Mining","Iris Fontbona & family",80,Chile,Santiago,Mining,"Metals & Mining",F,Fontbona,Iris
23100,Manufacturing,"Michael Hartono",83,Indonesia,Kudus,"Banking, tobacco",Manufacturing,M,Hartono,Michael
22900,Manufacturing,"James Ratcliffe",70,"United Kingdom",London,Chemicals,Manufacturing,M,Ratcliffe,James
22600,Healthcare,"Cyrus Poonawalla",81,India,Pune,Vaccines,Healthcare,M,Poonawalla,Cyrus
22400,Telecom,"Masayoshi Son",65,Japan,Tokyo,"Internet, telecom",Telecom,M,Son,Masayoshi
22100,"Metals & Mining","Vladimir Lisin",66,Russia,Moscow,"Steel, transport","Metals & Mining",M,Lisin,Vladimir
22000,"Food & Beverage","Emmanuel Besnier",52,France,Laval,Cheese,"Food & Beverage",M,Besnier,Emmanuel
21600,"Finance & Investments","Abigail Johnson",61,"United States",Milton,Fidelity,"Finance & Investments",F,Johnson,Abigail
21600,Energy,"Leonid Mikhelson & family",67,Russia,Moscow,"Gas, chemicals",Energy,M,Mikhelson,Leonid
21200,"Fashion & Retail","Lukas Walton",36,"United States",Chicago,Walmart,"Fashion & Retail",M,Walton,Lukas
21200,Service,"Wang Wei",52,China,Shenzhen,"Package delivery",Service,M,Wang,Wei
21100,Technology,"Jensen Huang",60,"United States","Los Altos",Semiconductors,Technology,M,Huang,Jensen
21000,"Fashion & Retail","Leonard Lauder",90,"United States","New York","Estee Lauder","Fashion & Retail",M,Lauder,Leonard
21000,Manufacturing,"Takemitsu Takizaki",77,Japan,Osaka,Sensors,Manufacturing,M,Takizaki,Takemitsu
20900,"Metals & Mining","Alexey Mordashov & family",57,Russia,Moscow,"Steel, investments","Metals & Mining",M,Mordashov,Alexey
20500,Energy,"Vagit Alekperov",72,Russia,Moscow,Oil,Energy,M,Alekperov,Vagit
20200,Healthcare,"Thomas Frist, Jr. & family",84,"United States",Nashville,Hospitals,Healthcare,M,Frist,Thomas
19600,"Metals & Mining","Andrew Forrest",61,Australia,Perth,Mining,"Metals & Mining",M,Forrest,Andrew
19100,"Finance & Investments","Ray Dalio",73,"United States",Greenwich,"Hedge funds","Finance & Investments",M,Dalio,Ray
19000,Automotive,"Eric Li",59,China,Hangzhou,Automobiles,Automotive,M,Li,Eric
19000,"Metals & Mining","Wang Wenyin",55,China,Shenzhen,"Mining, copper products","Metals & Mining",M,Wang,Wenyin
18900,"Food & Beverage","Qin Yinglin",57,China,Nanyang,"Pig breeding","Food & Beverage",M,Qin,Yinglin
18700,Automotive,"Wang Chuanfu",57,China,Shenzhen,"Batteries, automobiles",Automotive,M,Wang,Chuanfu
18500,Energy,"Harold Hamm & family",77,"United States","Oklahoma City","Oil & gas",Energy,M,Hamm,Harold
18500,"Finance & Investments","David Tepper",65,"United States","Palm Beach","Hedge funds","Finance & Investments",M,Tepper,David
18500,Energy,"Gennady Timchenko",70,Russia,Moscow,"Oil, gas",Energy,M,Timchenko,Gennady
18000,"Finance & Investments","Daniel Gilbert",61,"United States",Franklin,"Quicken Loans","Finance & Investments",M,Gilbert,Daniel
17700,"Metals & Mining","Lakshmi Mittal",72,"United Kingdom",London,Steel,"Metals & Mining",M,Mittal,Lakshmi
17500,"Finance & Investments","Steve Cohen",66,"United States",Greenwich,"Hedge funds","Finance & Investments",M,Cohen,Steve
17500,"Finance & Investments","Carl Icahn",87,"United States","Indian Creek",Investments,"Finance & Investments",M,Icahn,Carl
17500,"Metals & Mining","Savitri Jindal & family",73,India,Hisar,Steel,"Metals & Mining",F,Jindal,Savitri
17400,"Real Estate","Donald Bren",90,"United States","Newport Beach","Real estate","Real Estate",M,Bren,Donald
17400,"Fashion & Retail","John Menard, Jr.",83,"United States","Eau Claire","Home improvement stores","Fashion & Retail",M,Menard,John
17100,"Media & Entertainment","Rupert Murdoch & family",92,"United States","New York","Newspapers, TV network","Media & Entertainment",M,Murdoch,Rupert
16700,"Finance & Investments","Vicky Safra & family",70,Switzerland,Crans-Montana,Banking,"Finance & Investments",F,Safra,Vicky
16500,"Fashion & Retail","Theo Albrecht, Jr. & family",72,Germany,"Mulheim an der Ruhr","Aldi, Trader Joe's","Fashion & Retail",M,Albrecht,Theo
16500,"Finance & Investments","Renata Kellnerova & family",55,"Czech Republic",Prague,"Finance, telecommunications","Finance & Investments",F,Kellnerova,Renata
16300,Healthcare,"Li Xiting",72,China,Shenzhen,"medical devices",Healthcare,M,Li,Xiting
16200,"Fashion & Retail","Stefan Persson",75,Sweden,Stockholm,H&M,"Fashion & Retail",M,Persson,Stefan
16200,Technology,"Eric Schmidt",67,"United States",Atherton,Google,Technology,M,Schmidt,Eric
16000,"Finance & Investments","Michael Platt",55,Switzerland,Geneva,"Hedge funds","Finance & Investments",M,Platt,Michael
15900,"Food & Beverage","Pang Kang",67,China,Foshan,"Soy sauce","Food & Beverage",M,Pang,Kang
15800,"Food & Beverage","Jorge Paulo Lemann & family",83,Switzerland,Zurich,Beer,"Food & Beverage",M,Lemann,"Jorge Paulo"
15600,Healthcare,"Dilip Shanghvi",67,India,Mumbai,Pharmaceuticals,Healthcare,M,Shanghvi,Dilip
15500,Technology,"Robert Pera",45,"United States","San Jose","Wireless networking",Technology,M,Pera,Robert
15300,"Fashion & Retail","Radhakishan Damani",68,India,Mumbai,"Retail, investments","Fashion & Retail",M,Damani,Radhakishan
15200,Automotive,"Huang Shilin",56,China,Ningde,Batteries,Automotive,M,Huang,Shilin
14900,Diversified,"Dhanin Chearavanont",83,Thailand,Bangkok,Diversified,Diversified,M,Chearavanont,Dhanin
14900,"Fashion & Retail","David Green & family",81,"United States","Oklahoma City",Retail,"Fashion & Retail",M,Green,David
14800,"Food & Beverage","Charoen Sirivadhanabhakdi",78,Thailand,Bangkok,"Alcohol, real estate","Food & Beverage",M,Sirivadhanabhakdi,Charoen
14700,"Food & Beverage","Charlene de Carvalho-Heineken & family",68,"United Kingdom",London,Heineken,"Food & Beverage",F,"de Carvalho-Heineken",Charlene
14600,Healthcare,"Xu Hang",60,China,Shenzhen,"Medical devices",Healthcare,M,Xu,Hang
14500,Automotive,"Wei Jianjun & family",59,China,Baoding,Automobiles,Automotive,M,Wei,Jianjun
14300,Manufacturing,"Goh Cheng Liang",95,Singapore,Singapore,Paints,Manufacturing,M,Goh,"Cheng Liang"
14200,Diversified,"Kumar Birla",55,India,Mumbai,Commodities,Diversified,M,Birla,Kumar
14200,Manufacturing,"Aliko Dangote",65,Nigeria,Lagos,"Cement, sugar",Manufacturing,M,Dangote,Aliko
14000,Diversified,"Idan Ofer",67,"United Kingdom",London,Shipping,Diversified,M,Ofer,Idan
13900,Healthcare,"Chen Bang",57,China,Changsha,Hospitals,Healthcare,M,Chen,Bang
13700,Logistics,"John Fredriksen",78,"United Kingdom",London,Shipping,Logistics,M,Fredriksen,John
13700,"Construction & Engineering","Diane Hendricks",76,"United States",Afton,"Building supplies","Construction & Engineering",F,Hendricks,Diane
13700,Technology,"Jan Koum",47,"United States",Atherton,WhatsApp,Technology,M,Koum,Jan
13300,Sports,"Jerry Jones",80,"United States",Dallas,"Dallas Cowboys",Sports,M,Jones,Jerry
13300,Energy,"George Kaiser",80,"United States",Tulsa,"Oil & gas, banking",Energy,M,Kaiser,George
13200,Automotive,"Lu Xiangyang",60,China,Guangzhou,"Automobiles, batteries",Automotive,M,Lu,Xiangyang
13100,"Real Estate","Harry Triguboff",90,Australia,Sydney,"Real estate","Real Estate",M,Triguboff,Harry
12900,"Finance & Investments","Uday Kotak",64,India,Mumbai,Banking,"Finance & Investments",M,Kotak,Uday
12900,Sports,"Stanley Kroenke",75,"United States",Electra,"Sports, real estate",Sports,M,Kroenke,Stanley
12600,Energy,"Mikhail Fridman",58,"United Kingdom",London,"Oil, banking, telecom",Energy,M,Fridman,Mikhail
12300,Energy,"Sarath Ratanavadi",57,Thailand,Bangkok,Energy,Energy,M,Ratanavadi,Sarath
12200,"Metals & Mining","Dang Yanbao",50,China,Yinchuan,Coal,"Metals & Mining",M,Dang,Yanbao
12200,Healthcare,"Jiang Rensheng & family",69,China,Chongqing,Vaccines,Healthcare,M,Jiang,Rensheng
12100,Automotive,"Shahid Khan",72,"United States",Naples,"Auto parts",Automotive,M,Khan,Shahid
12000,Technology,"Laurene Powell Jobs & family",59,"United States","Palo Alto","Apple, Disney",Technology,F,"Powell Jobs",Laurene
11600,"Real Estate","Stephen Ross",82,"United States","New York","Real estate","Real Estate",M,Ross,Stephen
11500,Technology,"Pavel Durov",38,"United Arab Emirates",Dubai,"Messaging app",Technology,M,Durov,Pavel
11500,Healthcare,"Andreas Struengmann & family",73,Germany,Tegernsee,Pharmaceuticals,Healthcare,M,Struengmann,Andreas
11500,Healthcare,"Thomas Struengmann & family",73,Germany,Tegernsee,Pharmaceuticals,Healthcare,M,Struengmann,Thomas
11400,"Food & Beverage","Liu Hanyuan",59,China,Chengdu,Agribusiness,"Food & Beverage",M,Liu,Hanyuan
11400,"Fashion & Retail","Michael Rubin",50,"United States","Bryn Mawr","Online retail","Fashion & Retail",M,Rubin,Michael
11300,"Finance & Investments","Israel Englander",74,"United States","New York","Hedge funds","Finance & Investments",M,Englander,Israel
11300,Manufacturing,"Viatcheslav Kantor",69,Israel,Herzliya,"Fertilizer, real estate",Manufacturing,M,Kantor,Viatcheslav
11300,Manufacturing,"Anthony Pratt",62,Australia,Melbourne,Manufacturing,Manufacturing,M,Pratt,Anthony
11300,"Finance & Investments","Mikhail Prokhorov",57,Switzerland,Frauenfeld,Investments,"Finance & Investments",M,Prokhorov,Mikhail
11100,"Fashion & Retail","Giorgio Armani",88,Italy,Milan,"Luxury goods","Fashion & Retail",M,Armani,Giorgio
11100,"Fashion & Retail","Johann Rupert & family",72,"South Africa","Cape Town","Luxury goods","Fashion & Retail",M,Rupert,Johann
11000,Technology,"Zhang Zhidong",51,China,Shenzhen,"Internet media",Technology,M,Zhang,Zhidong
10900,"Finance & Investments","Philip Anschutz",83,"United States",Denver,"Energy, sports, entertainment","Finance & Investments",M,Anschutz,Philip
10900,"Fashion & Retail","Judy Love & family",85,"United States","Oklahoma City","Gas stations","Fashion & Retail",F,Love,Judy
10900,"Fashion & Retail","Ricardo Salinas Pliego & family",67,Mexico,"Mexico City","Retail, media","Fashion & Retail",M,"Salinas Pliego",Ricardo
10700,"Media & Entertainment","Donald Newhouse",93,"United States","New York",Media,"Media & Entertainment",M,Newhouse,Donald
